raw_text,citation_type,title,authors,year,journal,volume,issue,pages,doi,isbn,book_title,publisher,url,date_accessed
"73. Al-Dabbagh RD, Kinsheel A, Mekhilef S, Baba MS, Shamshirband S. System identification and control of robot manipulator based on fuzzy adaptive differential evolution algorithm. Adv Eng Softw. 2014;78:60-6. https://doi.org/10.1016/j.advengsoft.2014.08.009",journal_article,System identification and control of robot manipulator based on fuzzy adaptive differential evolution algorithm,Al-Dabbagh RD | Kinsheel A | Mekhilef S | Baba MS | Shamshirband S,2014,Adv Eng Softw,78,,60-6,10.1016/j.advengsoft.2014.08.009,,,,,
"74. Craig J. Introduction to robotics: mechanics and control, 3rd edn. Pearson Education; 2009.",book,"Introduction to robotics: mechanics and control, 3rd edn",Craig J,2009,,,,,,,,Pearson Education,,
"75. Serway RA, Jewett JW. Physics for scientists and engineers. Cengage Learning; 2018.",book,Physics for scientists and engineers,Serway RA | Jewett JW,2018,,,,,,,,Cengage Learning,,
"76. Choi B, Kang D. Modeling and simulation of discrete event systems. John Wiley & Sons; 2013.",book,Modeling and simulation of discrete event systems,Choi B | Kang D,2013,,,,,,,,John Wiley & Sons,,
"77. Wu J, Wang J, You Z. An overview of dynamic parameter identification of robots. Robot Comput-Integr Manuf. 2010;26(5):414-9. https://doi.org/10.1016/j.rcim.2010.03.013",journal_article,An overview of dynamic parameter identification of robots,Wu J | Wang J | You Z,2010,Robot Comput-Integr Manuf,26,5,414-9,10.1016/j.rcim.2010.03.013,,,,,
"78. Gautier M. Optimal motion planning for robot’s inertial parameters identification. In: Proceedings of the 31st IEEE Conference on Decision Control. IEEE; 1992, pp. 70-3.",conference_paper,Optimal motion planning for robot’s inertial parameters identification,Gautier M,1992,Proceedings of the 31st IEEE Conference on Decision Control,,,70-3,,,,IEEE,,
"79. Åström KJ, Eykhoff P. System identification-a survey. Automatica. 1971;7(2):123-62. https://doi.org/10.1016/0005-1098(71)90059-8",journal_article,System identification-a survey,Åström KJ | Eykhoff P,1971,Automatica,7,2,123-62,10.1016/0005-1098(71)90059-8,,,,,
80. Miettinen K. Nonlinear multiobjective optimization. Springer Science & Business Media; 2012.,book,Nonlinear multiobjective optimization,Miettinen K,2012,,,,,,,,Springer Science & Business Media,,
"81. Osyczka A, Kundu S. A new method to solve generalized multicriteria optimization problems using the simple genetic algorithm. Struct Optim. 1995;10(2):94-9. https://doi.org/10.1007/bf01743536",journal_article,A new method to solve generalized multicriteria optimization problems using the simple genetic algorithm,Osyczka A | Kundu S,1995,Struct Optim,10,2,94-9,10.1007/bf01743536,,,,,
82. Betts JT. Practical methods for optimal control and estimation using nonlinear programming. SIAM; 2010.,book,Practical methods for optimal control and estimation using nonlinear programming,Betts JT,2010,,,,,,,,SIAM,,
"83. Coello CAC, Lamont GB, Van Veldhuizen DA. Evolutionary algorithms for solving multi-objective problems, vol. 5. Springer; 2007.",book,Evolutionary algorithms for solving multi-objective problems,Coello CAC | Lamont GB | Van Veldhuizen DA,2007,,5,,,,,,Springer,,
"84. Talbi E-G. Metaheuristics: from design to implementation, vol. 74. John Wiley & Sons; 2009.",book,Metaheuristics: from design to implementation,Talbi E-G,2009,,74,,,,,,John Wiley & Sons,,
"85. Ahmad MF, Isa NAM, Lim WH, Ang KM. Differential evolution: a recent review based on state-of-the-art works. Alex Eng J. 2022;61(5):3831-72. https://doi.org/10.1016/j.aej.2021.09.013",journal_article,Differential evolution: a recent review based on state-of-the-art works,Ahmad MF | Isa NAM | Lim WH | Ang KM,2022,Alex Eng J,61,5,3831-72,10.1016/j.aej.2021.09.013,,,,,
"86. Shami TM, El-Saleh AA, Alswaitti M, Al-Tashi Q, Summakieh MA, Mirjalili S. Particle swarm optimization: a comprehensive survey. IEEE Access. 2022;10:10031-61. https://doi.org/10.1109/access.2022.3142859",journal_article,Particle swarm optimization: a comprehensive survey,Shami TM | El-Saleh AA | Alswaitti M | Al-Tashi Q | Summakieh MA | Mirjalili S,2022,IEEE Access,10,,10031-61,,,,,,
"87. Alhijawi B, Awajan A. Genetic algorithms: theory, genetic operators, solutions, and applications. Evol Intel. 2023;17(3):1245-56. https://doi.org/10.1007/s12065-023-00822-6",journal_article,"Genetic algorithms: theory, genetic operators, solutions, and applications",Alhijawi B | Awajan A,2023,Evol Intel,17,3,1245-56,,,,,,
"88. Wolpert D, Macready Wg. No free lunch theorems for search. SFI-TR-95-02-010. Santa Fe Institute; 1995.",book,No free lunch theorems for search,Wolpert D | Macready Wg,1995,,,,,,,,Santa Fe Institute,,
"89. Derrac J, García S, Molina D, Herrera F. A practical tutorial on the use of nonparametric statistical tests as a methodology for comparing evolutionary and swarm intelligence algorithms. Swarm Evol Comput. 2011;1(1):3-18. https://doi.org/10.1016/j.swevo.2011.02.002",journal_article,A practical tutorial on the use of nonparametric statistical tests as a methodology for comparing evolutionary and swarm intelligence algorithms,Derrac J | García S | Molina D | Herrera F,2011,Swarm Evol Comput,1,1,3-18,,,,,,
"90. Huang C, Li Y, Yao X. A survey of automatic parameter tuning methods for metaheuristics. IEEE Trans Evol Comput. 2020;24(2):201-16. https://doi.org/10.1109/tevc.2019.2921598",journal_article,A survey of automatic parameter tuning methods for metaheuristics,Huang C | Li Y | Yao X,2020,IEEE Trans Evol Comput,24,2,201-16,,,,,,
"91. Velasco-Carrau J, García-Nieto S, Salcedo JV, Bishop RH. Multi-objective optimization for wind estimation and aircraft model identification. J Guid Control Dyn. 2016;39(2):372-89. https://doi.org/10.2514/1.g001294",journal_article,Multi-objective optimization for wind estimation and aircraft model identification,Velasco-Carrau J | García-Nieto S | Salcedo JV | Bishop RH,2016,J Guid Control Dyn,39,2,372-89,,,,,,
"92. Isermann R, Schaffnit J, Sinsel S. Hardware-in-the-loop simulation for the design and testing of engine-control systems. Control Eng Practice. 1999;7(5):643-53. https://doi.org/10.1016/s0967-0661(98)00205-6",journal_article,Hardware-in-the-loop simulation for the design and testing of engine-control systems,Isermann R | Schaffnit J | Sinsel S,1999,Control Eng Practice,7,5,643-53,,,,,,
"93. Swevers J, Verdonck W, De Schutter J. Dynamic model identification for industrial robots. IEEE Control Syst Mag. 2007;27(5):58-71.",journal_article,Dynamic model identification for industrial robots,Swevers J | Verdonck W | De Schutter J,2007,IEEE Control Syst Mag,27,5,58-71,,,,,,
"94. Benitez-Garcia SE, Villarreal-Cervantes MG. Event-triggered control for a three DoF manipulator robot. Enfoque UTE. 2018;9(4):33-44. https://doi.org/10.29019/enfoqueute.v9n4.396",journal_article,Event-triggered control for a three DoF manipulator robot,Benitez-Garcia SE | Villarreal-Cervantes MG,2018,Enfoque UTE,9,4,33-44,,,,,,
"95. Radkhah K, Kulic D, Croft E. Dynamic parameter identification for the CRS A460 robot. In: The 2007 IEEE/RSJ International Conference on Intelligent Robots and Systems. IEEE; 2007, pp. 3842-7.",conference_paper,Dynamic parameter identification for the CRS A460 robot,Radkhah K | Kulic D | Croft E,2007,,,,3842-7,,,The 2007 IEEE/RSJ International Conference on Intelligent Robots and Systems,IEEE,,
"96. Krishnan R. Electric motor drives: modeling, analysis, and control. Prentice Hall; 2001.",book,"Electric motor drives: modeling, analysis, and control",Krishnan R,2001,,,,,,,,Prentice Hall,,
"97. Ogata K, Yang Y. Modern control engineering. Upper Saddle River, NJ: Prentice Hall; 2010.",book,Modern control engineering,Ogata K | Yang Y,2010,,,,,,,,Prentice Hall,,
"98. Deb K, Kalyanmoy D. Multi-objective optimization using evolutionary algorithms. John Wiley & Sons; 2001.",book,Multi-objective optimization using evolutionary algorithms,Deb K | Kalyanmoy D,2001,,,,,,,,John Wiley & Sons,,
"99. Worden K, Barthorpe RJ, Cross EJ, Dervilis N, Holmes GR, Manson G, et al. On evolutionary system identification with applications to nonlinear benchmarks. Mech Syst Signal Process. 2018;112:194-232. https://doi.org/10.1016/j.ymssp.2018.04.001",journal_article,On evolutionary system identification with applications to nonlinear benchmarks,Worden K | Barthorpe RJ | Cross EJ | Dervilis N | Holmes GR | Manson G,2018,Mech Syst Signal Process,112,,194-232,10.1016/j.ymssp.2018.04.001,,,,,
100. Sampson J. Adaptation in natural and artificial systems. John H. Holland; 1976.,book,Adaptation in natural and artificial systems,Sampson J,1976,,,,,,,,John H. Holland,,
"101. Epitropakis MG, Tasoulis DK, Pavlidis NG, Plagianakos VP, Vrahatis MN. Enhancing differential evolution utilizing proximity-based mutation operators. IEEE Trans Evol Comput. 2011;15(1):99-119. https://doi.org/10.1109/tevc.2010.2083670",journal_article,Enhancing differential evolution utilizing proximity-based mutation operators,Epitropakis MG | Tasoulis DK | Pavlidis NG | Plagianakos VP | Vrahatis MN,2011,IEEE Trans Evol Comput,15,1,99-119,10.1109/tevc.2010.2083670,,,,,
"102. Opara KR, Arabas J. Differential evolution: a survey of theoretical analyses. Swarm Evol Comput. 2019;44:546-58. https://doi.org/10.1016/j.swevo.2018.06.010",journal_article,Differential evolution: a survey of theoretical analyses,Opara KR | Arabas J,2019,Swarm Evol Comput,44,,546-58,10.1016/j.swevo.2018.06.010,,,,,
"103. Rao S. Engineering optimization: theory and practice, 4th edn. John Wiley & Sons; 2009.",book,"Engineering optimization: theory and practice, 4th edn",Rao S,2009,,,,,,,,John Wiley & Sons,,
"104. Nocedal J, Wright SJ. Numerical optimization, 2nd edn. Springer; 2006.",book,"Numerical optimization, 2nd edn",Nocedal J | Wright SJ,2006,,,,,,,,Springer,,
105. Williamson M. Series elastic actuators. Massachusetts Institute of Technology Artificial Intelligence Laboratory; 1995.,book,Series elastic actuators,Williamson M,1995,,,,,,,,Massachusetts Institute of Technology Artificial Intelligence Laboratory,,
"106. Junior A, de Andrade R, Bento Filho A. Series elastic actuator: design, analysis and comparison. Recent Adv Robot Syst. 2016;1(3).",journal_article,"Series elastic actuator: design, analysis and comparison",Junior A | de Andrade R | Bento Filho A,2016,Recent Adv Robot Syst,1,3,,,,,,,
"107. Au SK, Weber J, Herr H. Biomechanical design of a powered ankle-foot prosthesis. In: 2007 IEEE 10th International Conference on Rehabilitation Robotics. IEEE; 2007, pp. 298-303. https://doi.org/10.1109/icorr.2007.4428441",conference_paper,Biomechanical design of a powered ankle-foot prosthesis,Au SK | Weber J | Herr H,2007,2007 IEEE 10th International Conference on Rehabilitation Robotics,,,298-303,10.1109/icorr.2007.4428441,,,IEEE,,
"108. Herr HM, Grabowski AM. Bionic ankle-foot prosthesis normalizes walking gait for persons with leg amputation. Proc Biol Sci. 2012;279(1728):457-64. https://doi.org/10.1098/rspb.2011.1194PMID: 21752817",journal_article,Bionic ankle-foot prosthesis normalizes walking gait for persons with leg amputation,Herr HM | Grabowski AM,2012,Proc Biol Sci,279,1728,457-64,10.1098/rspb.2011.1194,,,,,
"109. Grimmer M, Holgate M, Holgate R, Boehler A, Ward J, Hollander K, et al. A powered prosthetic ankle joint for walking and running. Biomed Eng Online. 2016;15(Suppl 3):141. https://doi.org/10.1186/s12938-016-0286-7PMID: 28105953",journal_article,A powered prosthetic ankle joint for walking and running,Grimmer M | Holgate M | Holgate R | Boehler A | Ward J | Hollander K,2016,Biomed Eng Online,15,Suppl 3,141,10.1186/s12938-016-0286-7,,,,,
"110. Agarwal P, Deshpande AD. Series elastic actuators for small-scale robotic applications. J Mech Robot. 2017;9(3). https://doi.org/10.1115/1.4035987",journal_article,Series elastic actuators for small-scale robotic applications,Agarwal P | Deshpande AD,2017,J Mech Robot,9,3,,10.1115/1.4035987,,,,,
"111. Subramanim K, Sriraman A, Amirtham V, Rani A, Ali S, Perumal T. Review of current development of knee rehabilitation device using series elastic actuator (SEA). In: ICPER 2020 Proceedings of the 7th International Conference on Production, Energy and Reliability. Springer; 2022.",conference_paper,Review of current development of knee rehabilitation device using series elastic actuator (SEA),Subramanim K | Sriraman A | Amirtham V | Rani A | Ali S | Perumal T,2022,"ICPER 2020 Proceedings of the 7th International Conference on Production, Energy and Reliability",,,,,,,Springer,,
"112. Huo W, Mohammed S, Moreno JC, Amirat Y. Lower limb wearable robots for assistance and rehabilitation: a state of the art. IEEE Syst J. 2016;10(3):1068-81. https://doi.org/10.1109/jsyst.2014.2351491",journal_article,Lower limb wearable robots for assistance and rehabilitation: a state of the art,Huo W | Mohammed S | Moreno JC | Amirat Y,2016,IEEE Syst J,10,3,1068-81,10.1109/jsyst.2014.2351491,,,,,
113. Chiasson J. Modeling and high performance control of electric machines. John Wiley & Sons; 2005.,book,Modeling and high performance control of electric machines,Chiasson J,2005,,,,,,,,John Wiley & Sons,,
"114. Park Y, Paine N, Oh S. Development of force observer in series elastic actuator for dynamic control. IEEE Trans Ind Electron. 2018;65(3):2398-407. https://doi.org/10.1109/tie.2017.2745457",journal_article,Development of force observer in series elastic actuator for dynamic control,Park Y | Paine N | Oh S,2018,IEEE Trans Ind Electron,65,3,2398-407,10.1109/tie.2017.2745457,,,,,
"115. Palma-Huerta AA, Villarreal-Cervantes MG, Salgado-Ramos I de J. Desarrollo y análisis de la integración de la dinámica del motor en el modelo de un actuador elástico en serie con detección de fuerza de reacción.. ICBI. 2024;12:128-37. https://doi.org/10.29057/icbi.v12iespecial4.13322",journal_article,Desarrollo y análisis de la integración de la dinámica del motor en el modelo de un actuador elástico en serie con detección de fuerza de reacción,Palma-Huerta AA | Villarreal-Cervantes MG | Salgado-Ramos I de J,2024,ICBI,12,,128-37,10.29057/icbi.v12iespecial4.13322,,,,,
